Hero,Name,Gender
RYDER,"('Ryder (Earth-616)', 90)",Male
OGRE II,"('Shingen Harada II (Earth-616)', 86)",Male
"REISZ, RAY","('Beta Ray Bill (Earth-616)', 86)",Male
"BURRTHROP, T. BARTON","('Clinton Barton (Skrull) (Earth-616)', 86)",Male
BEAUTY,"('Beauty (Earth-616)', 90)",Female
JOVAN,"('Joan Eaton (Earth-616)', 76)",Female
"BRYCE, ARCHER","('Ulysses Archer (Earth-616)', 86)",Male
TALISMAN II/ELIZABET,"('Talisman (Australian) (Earth-616)', 86)",Male
SELENE,"('Selene Gallio (Earth-616)', 90)",Female
TICKTOCK,"('Tick Tock (Earth-616)', 79)",Male
ASTRA II,"('Shingen Harada II (Earth-616)', 86)",Male
TARANTULA/ANTON MIGU,"('Anton Miguel Rodriquez (Earth-616)', 86)",Male
"DIEGO, MANUEL","('Manuel de la Rocha (Earth-616)', 86)",Male
"MANNING, ERIKA","('Luther Manning (Earth-616)', 86)",Male
GORNKAI,"('Gorki (Earth-616)', 71)",Male
SCRIBE,"('Scrier (Earth-616)', 75)",Male
"LANG, TIMMY","('Scott Lang (Earth-616)', 86)",Male
COACH,"('Coach (Earth-616)', 90)",Male
TIMMONS,"('Harper Simmons (Earth-616)', 77)",Male
LIBRITO,"('Daniel Brito (Earth-616)', 77)",Male
WRONG,"('Wong (Earth-616)', 76)",Male
UGLY JOHN/STEVE,"('John Jonah Jameson (Earth-616)', 86)",Male
IMPALA/,"('Impala (Earth-616)', 90)",Female
REBEL/,"('Nereel (Earth-616)', 76)",Female
SPOOR/ANDREW HAMISH ,"('Andrew Blodgett Mayfair (Earth-616)', 86)",Male
PHANTOM,"('Space Phantom (Earth-616)', 90)",Male
"GEORGE, DAVID LLOYD","('George Washington Bridge (Earth-616)', 86)",Male
SATANNISH,"('Satannish (Earth-616)', 90)",Male
"BEACH, SPIDER","('Spider-Man (Peter Parker)', 86)",Male
MAJESTON ZELIA,"('Majeston Zelia (Earth-616)', 90)",Female
HUNTER/JAEGER,"('Robert Hunter (Earth-616)', 86)",Male
"TARR, BLACK JACK","('Jack Harrison (Earth-616)', 86)",Male
"SMITH, KEVIN","('Tabitha Smith (Earth-616)', 86)",Female
"SUPERIA/WENTWORTH, D","('George Tarleton (M.O.D.O.K. Superior) (Earth-616)', 86)",Male
"ASHER, CARL","('Carl Creel (Earth-616)', 86)",Male
GRAPPLER,"('Grappler (Earth-616)', 90)",Male
JORRO,"('Jorro (Earth-616)', 90)",Male
FLAG-SMASHER,"('Smasher VI (Earth-616)', 86)",Male
MAN-SPIDER | MUTANT ,"('Iron Man (Anthony \\""Tony\\"" Stark)', 86)",Male
"BLAIRE, CARTER","('Alison Blaire (Earth-616)', 86)",Female
SUPREME INTELLIGENCE,"('Supreme Intelligence (Earth-616)', 90)",Male
GOMURR,"('Gomurr (Earth-616)', 90)",Male
"DIETZ, SUSAN","('Susan Storm (Earth-616)', 86)",Female
MASTER ELO,"('Master Elo (Earth-616)', 90)",Male
RAX,"('Mark Raxton (Earth-616)', 90)",Male
"MCCABE, LINDSAY","('Lindsay McCabe (Earth-616)', 86)",Female
"PENNYWORTH, J.C.","('J. R. Walker (Earth-616)', 86)",Male
"CORTES, MARIA PILAR","('Maria de Guadalupe Santiago (Earth-616)', 86)",Female
MORGAN,"('Morgan le Fay (Earth-616)', 90)",Female
"DESTINE, NEWTON","('Dominic Destine (Earth-616)', 86)",Male
DR. DOOM | MUTANT X-,"('Headhunter (Mutant) (Earth-616)', 86)",Female
"FURY, NICK L.M.D.","('Nicholas Fury (Earth-616)', 86)",Male
CHAMBLISS,"('Mitchell Chambers', 64)",Male
THUNDERSTRIKE/ERIC K,"('George Tarleton (M.O.D.O.K. Superior) (Earth-616)', 86)",Male
BUTCH,"('Gorr (God Butcher) (Earth-616)', 90)",Male
"DIAMOND, KATHY","('Robert Diamond (Earth-616)', 86)",Male
CYBERTOOTH/YEN HSIEH,"('Yen Hsieh (Earth-616)', 68)",Male
CHAKA KHAN,"('Khan (Earth-616)', 86)",Male
VOLKHVY,"('Volkvhy (Earth-616)', 77)",Male
KNAVE,"('Knave (Crazy Gang) (Earth-616)', 90)",Male
"ARLINGTON, DR. MARCU","('Marcus Arlington III (Earth-616)', 86)",Male
PRIMUS II,"('Shingen Harada II (Earth-616)', 86)",Male
FOLD,"('Daze (Fold) (Earth-616)', 90)",Male
"BEACH, GINGER","('Ginger Jaye (Earth-616)', 86)",Female
UNSEEN/UNAM,"('Egghead (Bunsen Burners) (Earth-616)', 66)",Male
"STONE, MARGARET","('Margaret Carter (Earth-616)', 86)",Female
SEER,"('Seer (Earth-616)', 90)",Female
"PAYGE, REEVA","('Reeva Payge (Earth-616)', 86)",Female
HYPERTRON II/STURDEV,"('Seeker II (Inhuman) (Earth-616)', 86)",Male
TASHA,"('Tasha (Mutant) (Earth-616)', 90)",Female
SUPERCHARGER/,"('Mister Chambers (Earth-616)', 60)",Male
"OSBORN, LIZ ALLAN","('Norman Harold Osborn (Earth-616)', 86)",Male
BULLET,"('Bullseye (Lester) (Earth-616)', 75)",Male
AGENT-X/,"('Agent X (Nijo) (Earth-616)', 90)",Male
MASTER MOLD II,"('Master Order (Earth-616)', 86)",nan
"COLLINS, DEMITRIUS","('Millicent Collins (Earth-616)', 86)",Female
RAI,"('Brainchild (Earth-616)', 90)",Male
WALKABOUT,"('Walkabout (Earth-616)', 90)",nan
MAKKARI/MIKE KHARY/I,"('Bill (A.I.M. Agent) (Earth-616)', 86)",Male
SEEKER/TARM,"('Seeker (Inhuman) (Earth-616)', 86)",Male
"MALPHER, KATHY","('Kathy Malper (Earth-616)', 86)",Female
"STACY, GWEN | MUTANT","('Gwendolyne Stacy (Clone) (Earth-616)', 86)",Female
MANTA,"('Manta (Earth-616)', 90)",Female
HUMP/,"('Hump (Earth-616)', 90)",Male
MENTALLO,"('Metalloid (Earth-616)', 79)",nan
CATAPHRAX,"('Cataphrax (Earth-616)', 90)",Male
"YOUNG, LAWRENCE","('Lawrence Cranston (Earth-616)', 86)",Male
MR. SINISTER | AOA,"('Hyperion (Squadron Sinister) (Earth-616)', 86)",Male
"MAHONEY, GINNY","('Pat Mahoney (Earth-616)', 86)",Male
VOGEL,"('Curtis Vogel (Earth-616)', 90)",Male
"BANNERJEE, DR.","('Dr Thaxton (Earth-616)', 86)",Male
PSYLOCKE/ELISABETH B,"('Humanoid Experimental Robot B-Type Integrated Electronics (Earth-616)', 86)",Male
DEVIL DINOSAUR | MUT,"('Gabriel (Devil-Hunter) (Earth-616)', 86)",Male
GOLDEN GIRL/GWENNY L,"('Dead Girl (Moonbeam) (Earth-616)', 86)",Female
DEATHTOLL,"('Steel Serpent (Death Touch) (Earth-616)', 70)",Male
GAR-TOOM,"('Gar-Toom (Earth-616)', 90)",Male
THRAXON,"('Dr Thaxton (Earth-616)', 77)",Male
COLD WARRIOR,"('Red Warrior (Earth-616)', 86)",Male
MO MONEY,"('Giacomo Montesi (Earth-616)', 79)",Male
SCARBO,"('Susan Scarbo (Earth-616)', 90)",Female
CHLORINE,"('Chlorine (Human) (Earth-616)', 90)",nan
BARIUM,"('Barium (Element) (Earth-616)', 90)",nan
BLACK RAZER,"('Noah Black (Earth-616)', 86)",Male
PLAGUE,"('Plague (Earth-616)', 90)",Female
"ADAM 3,031","('Adam Warlock (Earth-616)', 86)",Male
RED RAVEN,"('Red Raven (Liberty Legion) (Earth-616)', 90)",Male
"CHEEVER, JOHN","('John Jonah Jameson (Earth-616)', 86)",Male
WAYOPEX,"('Wayopex (Earth-616)', 90)",Male
BISHOP /,"('Katherine Bishop (Earth-616)', 90)",Female
CRIMSON CRUSADER/ROR,"('Anton Vanko (Crimson Dynamo) (Earth-616)', 86)",Male
KRAA,"('Kraa (Luphomoid) (Earth-616)', 90)",Male
"TRAVERS, MIKE","('Mike Trapp (Earth-616)', 86)",Male
SAGITTARIUS/HARLAN V,"('Sagittarius (Ecliptic) (Earth-616)', 86)",Male
ARCHER/JUDE BLACK,"('Black Fox (Thief) (Earth-616)', 86)",Male
"JONES, DRUCILLA","('Richard Jones (Earth-616)', 86)",Male
VULTURE III/DR. CLIF,"('Warren Worthington III (Earth-616)', 86)",Male
TULAK,"('Chiquita Tarantula (Earth-616)', 76)",Female
"HINKLEY, ADMIRAL","('Admiral Leeds (Earth-616)', 86)",Male
MASTER PANDEMONIUM/M,"('George Tarleton (M.O.D.O.K. Superior) (Earth-616)', 86)",Male
"GUTHRIE, TYLER","('Samuel Guthrie (Earth-616)', 86)",Male
DR. STRANGER YET,"('Stranger (Cosmic Being) (Earth-616)', 86)",Male
HALF-FACE,"('Face (Inferno Baby) (Earth-616)', 86)",Male
LUPO,"('Lupo (Earth-616)', 90)",Male
"ASH, BRANDY","('Brandy Clark (Earth-616)', 86)",Female
CARVER,"('William Carver (Earth-616)', 90)",Male
FALCONA [INHUMAN],"('Seeker (Inhuman) (Earth-616)', 86)",Male
NOVA 0:0,"('Condor (Nova Foe) (Earth-616)', 86)",Male
"IRONWOOD, CISSY","('Priscilla Ironwood (Earth-616)', 86)",Female
"PARADY, CAPT. RONALD","('Ronald Wolverstone-Clodd (Earth-616)', 86)",Male
URANIUM,"('Uranium (Element) (Earth-616)', 90)",nan
SHIGARU,"('Shigeru Ezaki (Clone) (Earth-616)', 77)",Male
KILLIAN,"('Killian (Earth-616)', 90)",Male
LORD TEMPLAR/,"('Lord Templar (Tremont) (Earth-616)', 90)",Male
"DWYER, MARISSA","('Marissa Paulsen (Earth-616)', 86)",Female
HEADMISTRESS/,"('Mistress Love (Earth-616)', 64)",Female
BLACK TALON II/SAMUE,"('Black Knight (Young Masters) (Earth-616)', 86)",Female
"JOSHUA, DR. SEGISMUN","('Steven Rogers (Dr Bong Clone) (Earth-616)', 86)",Male
"PARKER, MAY III","('Spider-Man (Peter Parker)', 86)",Male
GEMINI/JOSHUA LINK,"('Missing Link (Lincoln) (Earth-616)', 86)",Male
ROOTAR,"('Rootar (Earth-616)', 90)",Male
"SOMERS, JOHNATHAN","('Jonathan Somers (Earth-616)', 86)",Male
"POTTS, VIRGINIA PEPP","('Virginia Potts (Heroes Reborn) (Earth-616)', 86)",Female
MARAUDER,"('Malice (Marauders) (Earth-616)', 90)",Female
HULK ROBOT,"('Hulk (Robert Bruce Banner)', 86)",Male
GULLO,"('Johnathon Gallo (Earth-616)', 72)",Male
JASMINE,"('Jasmine Destine (Earth-616)', 90)",Female
MYSTIQUE/RAVEN DARKH,"('Night Raven (Vigilante) (Earth-616)', 86)",Male
MATADOR/MANUEL ELOGA,"('Manuel Eloganto (Earth-616)', 59)",Male
"STACY, GWEN","('Gwendolyne Stacy (Earth-616)', 86)",Female
"BERGIER, REBECCA","('Rebecca Blake (Earth-616)', 86)",Female
FERRIS,"('Ferris (Earth-616)', 90)",Male
"BATTLE, MONTGOMERY","('James Montgomery Falsworth (Earth-616)', 86)",Male
HARDWIRE/,"('Hardwire (Robot) (Earth-616)', 90)",nan
JAKAR,"('Jakar (Earth-616)', 90)",Male
MAKO,"('Mako (Young Masters) (Earth-616)', 90)",Male
SACK,"('Sack (Earth-616)', 90)",Male
MODULAR MAN/STEPHEN ,"('Iron Man (Anthony \\""Tony\\"" Stark)', 86)",Male
GRESIG,"('Greg Forest (Earth-616)', 68)",Male
TIMESLOT,"('Mime', 68)",Male
MISTER HYDE/CALVIN Z,"('Living Eraser (Dimension Z) (Earth-616)', 86)",Male
COLLETTE,"('Collette Drumm (Earth-616)', 90)",Female
"STERIXIAN, LOATIA","('Desak Sterixian (Earth-616)', 86)",Male
TYRANT,"('Tyrant (Earth-616)', 90)",Male
"ANDERSON, NICKY","('Tam Anderson (Earth-616)', 86)",Female
AMERICAN EAGLE III/J,"('Warren Worthington III (Earth-616)', 86)",Male
CHAOS/DANIEL DASH,"('Daniel Berkhart (Earth-616)', 86)",Male
TRACKER,"('Wolfgang von Strucker (Earth-616)', 77)",Male
GRIM REAPER/ERIC WIL,"('Eric Slaughter (Crime Boss) (Earth-616)', 86)",Male
LIBRA III/,"('Warren Worthington III (Earth-616)', 86)",Male
VIVISECTOR/MYLES ALF,"('TOR\\/test', 60)",nan
BODYBAG,"('Voyager (Body Magician) (Earth-616)', 64)",Male
"SUAREZ, RAPHAEL","('Raphael Zoran (Earth-616)', 86)",Male
"LUDLUM, ROSS","('Elizabeth Ross (Earth-616)', 86)",Female
EEL/LEOPOLD STRYKE,"('Leopold Stryke (Earth-616)', 84)",Male
"THOMPSON, HARRISON","('Harrison Thompson (Earth-616)', 86)",Male
"DUGAN, TIMOTHY ALOYI","('Timothy Dugan (Skrull) (Earth-616)', 86)",Male
TAKAR,"('Yutaka (The Hand) (Earth-616)', 76)",Male
"HELLER, ERIC","('Eric Masterson (Earth-616)', 86)",Male
ULTRA-MAX,"('Max Eisenhardt (Earth-616)', 86)",Male
JAWBREAKER/,"('Caretaker (Blood) (Earth-616)', 63)",Male
DRAGON OF THE MOON,"('Dragon of the Moon (Earth-616)', 90)",nan
"DUGAN, DUM DUM | MUT","('Timothy Dugan (Skrull) (Earth-616)', 86)",Male
TINKERER,"('Tinkerer (Skrull) (Earth-616)', 90)",Male
"HOLIDAY, JORDAN","('Maxwell Jordan (Earth-616)', 86)",Male
NEZARR,"('Nezarr (Earth-616)', 90)",Male
"SHARP, TRINA","('James Sharp (Earth-616)', 86)",Male
JUSUR,"('Jusuf Khan (Earth-616)', 72)",Male
WOLFSBANE 2013,"('Zabo Donalbain (Earth-616)', 49)",Male
"TREVANI, DANIKA","('Danika Trevani (Earth-616)', 86)",Female
"ADAMS, GEORGE","('George Tarleton (Earth-616)', 86)",Male
SPORE,"('Spore (Earth-616)', 90)",Male
LUNATIK/ARISEN TYRK,"('Lunatik (Tyrk Fragment) (Earth-616)', 86)",Male
"LOPEZ, MARIA","('Maria Hill (Earth-616)', 86)",Female
SPOT/,"('Blindspot (Earth-616)', 90)",Female
MOBIUS,"('Doctor Mobius (Earth-616)', 90)",Male
"STRUNK, BELLA","('Bella Donna Boudreaux (Earth-616)', 86)",Female
BOAK,"('Paibok (Earth-616)', 74)",Male
"LITTLETREE, LINDA","('Linda Littletrees (Earth-616)', 86)",Female
THERAK,"('Thera (Shadow Consortium) (Earth-616)', 78)",Female
ARAKI II,"('Araki (Earth-616)', 86)",Female
"MARTINEZ, MRS.","('Mrs. Jenks (Earth-616)', 86)",Female
BUTTERFLY,"('Butterfly (Avatars) (Earth-616)', 90)",Female
CROSSBOW,"('Guy Cross-Wallace (Earth-616)', 68)",Male
"FENTON, BARNEY","('Barney Bushkin (Earth-616)', 86)",Male
"MOREAU, DAVID","('David Lieberman (Earth-616)', 86)",Male
IDUNA,"('Idunn (Earth-616)', 72)",Female
BLACK TALON III,"('Warren Worthington III (Earth-616)', 86)",Male
INTEGER,"('Integer (Earth-616)', 90)",Male
"WANG, VICTORIA VICKY","('Victoria von Frankenstein (Earth-616)', 86)",Female
HUNKIR,"('Hunk Hondo (Earth-616)', 68)",Male
"TSKAROV, GENERAL","('Lieutenant General Fredricks (Earth-616)', 86)",Male
"JACKSON, ANDREW JOCK","('Andrew Blodgett Mayfair (Earth-616)', 86)",Male
"REAGAN, NANCY","('Ronald Reagan (Earth-616)', 86)",Male
RECKLESS ERIC/,"('Eric Masterson (Earth-616)', 86)",Male
"GLEASON, KAREN","('Karen Page (Earth-616)', 86)",Female
"SPENCER, TRACY","('Spencer Smythe (Earth-616)', 86)",Male
SANDMAN DOPPELGANGER,"('Peter Parker (Doppelganger) (Earth-616)', 86)",Male
GLAMOUR GIRL/GLORIA,"('Dead Girl (Moonbeam) (Earth-616)', 86)",Female
HERA/AUGUSTINE JONES,"('Richard Jones (Phantom Reporter) (Earth-616)', 86)",Male
PRESTER JOHN,"('Prester John (Johann) (Earth-616)', 90)",Male
"HARDY, MORGAN MACNEI","('Lightning (Tex Morgan) (Earth-616)', 86)",Male
SUNSET GRACE,"('Grace Powell (Earth-616)', 86)",Female
CELESTE,"('Celeste Cuckoo (Earth-616)', 90)",Female
KAA,"('Skaar (Earth-616)', 90)",Male
"LEWIS, DEVON","('Devon Lewis (Earth-616)', 86)",Male
ICE PRINCESS/,"('Ice Princess (Earth-616)', 90)",Female
POWERSURGE/ILLARION ,"('Illarion Pavlovich Ramskov (Earth-616)', 86)",Male
IDNAR,"('Idnar (Earth-616)', 90)",nan
ADVA,"('Adva (Earth-616)', 90)",Female
GOLDFIRE/AMEIKO SABU,"('Ameiko Sabuki (Earth-616)', 57)",Female
WHYTEOUT/STUART ANTH,"('Stuart Anthony Whyte (Earth-616)', 86)",Male
DAYTRIPPER/AMANDA SE,"('Se\\u00f1or Muerte (Terrorist) (Earth-616)', 86)",Male
"FORRESTER, CAPT. ALE","('Aleytys Forrester (Earth-616)', 67)",Female
DOLLAR BILL,"('Beta Ray Bill (Earth-616)', 86)",Male
BLACK RAAZER/,"('Black Raazer (Earth-616)', 90)",Male
ANOMALY III,"('Warren Worthington III (Earth-616)', 86)",Male
"ATKINSON, MAJ. EDMON","('Edmond Atkinson (Earth-616)', 62)",Male
MAJOR DOMO,"('Major Thorn (Earth-616)', 86)",Male
SPIDER-MAN III/MARTH,"('Iron Man (Anthony \\""Tony\\"" Stark)', 86)",Male
"CARDENAS, PACO","('Paco Perez (Earth-616)', 86)",Male
WHITE KING,"('Hannibal King (Earth-616)', 86)",Male
"RIDDLEY, HIRAM RAM","('Tom\\u00e1s Ram\\u00edrez (Earth-616)', 86)",Male
SPINNERET,"('Spinnerette (Earth-616)', 90)",Female
CHAKRA II,"('Shingen Harada II (Earth-616)', 86)",Male
SAVAGE STEEL/HARRY L,"('Vertigo (Savage Land Mutate) (Earth-616)', 86)",Female
"SAUNDERS, KRISTINE","('Craig Saunders Jr. (Earth-616)', 86)",Male
BOX II/JERRY JAXXON,"('Seeker II (Inhuman) (Earth-616)', 86)",Male
YETRIGAR,"('Yetrigar (Earth-616)', 90)",Male
ANAIS,"('Anais (Earth-616)', 90)",Female
"CARLISLE, JENNA","('Phillip Carlisle (Earth-616)', 86)",Male
FAGIN,"('Fagin (Earth-616)', 90)",Male
DR. HYDRO,"('Dr. Yao (Earth-616)', 86)",Male
"BANTOCK, LT. OLIVER","('Oliver Denton (Earth-616)', 57)",Male
NEBULA,"('Nebula (Earth-616)', 90)",Female
STARSHINE III/ANARRA,"('Warren Worthington III (Earth-616)', 86)",Male
VAKUME,"('Vakume (Earth-616)', 90)",Male
WHISPER II/,"('Shingen Harada II (Earth-616)', 86)",Male
"WORTHINGTON, MAJOR G","('Warren Worthington III (Earth-616)', 86)",Male
LINK,"('Olinka Barankova (Earth-616)', 90)",Female
G'ANYM,"(""G'anym (Earth-616)"", 90)",Female
"PARK, ARCHIE","('Archie Stryker (Earth-616)', 86)",Male
CAT II,"('Shingen Harada II (Earth-616)', 86)",Male
MARTHA,"('Martha Franklin (Earth-616)', 90)",Female
MASTER ZEI,"('Master Zei (Earth-616)', 90)",Male
SMUGGLER II/CONRAD J,"('Leviathan (smuggler) (Earth-616)', 86)",Male
AL-KHALAD,"('Al-Khalad (Earth-616)', 90)",Male
ACHILLES II/HELMUT,"('Achilles (Helmut) (Earth-616)', 86)",Male
"SPITZ, BARRY","('Barry Bauman (Earth-616)', 86)",Male
"COFFY, DET.","('Henry McCoy (Earth-616)', 63)",Male
"RICHARDS, FRANKLINK ","('Nathaniel Richards (Earth-616)', 86)",Male
"TILBY, TRISH/PATRICI","('Patricia Tilby (Earth-616)', 57)",Female
FOREARM,"('Firearm (Earth-616)', 77)",Male
CLOAK/TYRONE JOHNSON,"('Stanley George Johnson (Earth-616)', 86)",Male
FAHE,"('Fahe (Earth-616)', 90)",nan
EON,"('Teon Macik (Earth-616)', 90)",Male
"LIN, MEI","('Lin Sun (Earth-616)', 86)",Male
"PIERSON, FRED","('Fred Davis Jr. (Earth-616)', 86)",Male
CARRION III/DR. WILL,"('Warren Worthington III (Earth-616)', 86)",Male
TYGER TIGER/JESSAN H,"('White Tiger (Evolved Tiger) (Earth-616)', 86)",Female
"ASTROVIK, ARNOLD","('Vance Astrovik (Earth-616)', 86)",Male
CASSIOPEIA,"('Cassiopeia (Pantheon) (Earth-616)', 90)",Female
"NITAL, DR.","('Taj Nital (Earth-616)', 86)",Male
ROCK PYTHON,"('Rock Murdock (Earth-616)', 86)",Male
ATOM-SMASHER/,"('Smasher VI (Earth-616)', 86)",Male
DUSK,"('Dusk (Demon) (Earth-616)', 90)",nan
LURKING UNKNOWN,"('Lurking Unknown (Earth-616)', 90)",Male
MARISTA,"('Marista (Earth-616)', 90)",Female
FER DE LANCE/TERESA,"('Valentina Allegra de Fontaine (Earth-616)', 86)",Female
SEEKER III,"('Warren Worthington III (Earth-616)', 86)",Male
"OLAFSON, ERIC","('Eric Masterson (Earth-616)', 86)",Male
KWANNON,"('Revanche (Kwannon) (Earth-616)', 90)",Female
SCOURGE,"('Scourge (Delazny) (Earth-616)', 90)",Male
TUPA,"('Tupac Amaru (Earth-616)', 90)",Male
HESCAMAR/MARNOT [ASG,"('Hescamar (Earth-616)', 67)",Male
"DABOIA, RUSSELL","('Jack Russell (Earth-616)', 86)",Male
"WORTHINGTON, WARREN ","('Warren Worthington III (Earth-616)', 86)",Male
ARMAZIEL,"('Armaziel (Earth-616)', 90)",Female
"GREER, DAVID","('Greer Grant (Earth-616)', 86)",Female
OTHER,"('Blood Brothers (Earth-616)', 90)",Male
AIRBORNE/,"('Airborne (Death Squad) (Earth-616)', 90)",Female
PENTIGAAR,"('Pentigaar (Earth-616)', 90)",Male
"COLLINS, TRACY","('Millicent Collins (Earth-616)', 86)",Female
"FREDERICKS, GENERAL","('Lieutenant General Fredricks (Earth-616)', 86)",Male
CROTUS,"('Crotus (Earth-616)', 90)",Male
"LOBO, EDUARDO","('Lobo (Native American) (Earth-616)', 86)",Male
MOUNTJOY,"('Alejandro Montoya (Earth-616)', 68)",Male
HARPOON,"('Ghost Harpooner (Earth-616)', 90)",Male
DEATHBIRD [SHI'AR],"('Manacle (Deathbird) (Earth-616)', 86)",nan
KORREK,"('Korrek (Earth-616)', 90)",Male
"GUTHRIE, JOSH","('Samuel Guthrie (Earth-616)', 86)",Male
VIGILANT/PSTUN-RAGE,"('Night Raven (Vigilante) (Earth-616)', 63)",Male
"MARTINEZ, LINETTE","('Linette Martinez (Earth-616)', 86)",Female
"CORRIGAN, ARCHIBALD ","('Archibald Corrigan (Earth-616)', 86)",Male
GANYMEDE,"('Ganymede (Spinsterhood) (Earth-616)', 90)",Female
"SMITH, MARTY LOUIS L","('Denis Nayland Smith (Earth-616)', 86)",Male
"MUGGINS, MAMIE","('Mamie Muggins (Earth-616)', 86)",Female
SLOTOTH,"('Slototh (Earth-616)', 90)",nan
"BRADDOCK, JOHN","('John Jonah Jameson (Earth-616)', 86)",Male
SENYAKA,"('Suvik Senyaka (Earth-616)', 90)",Male
"VAZIR, DR.","('Dr. Yao (Earth-616)', 86)",Male
"STONE, MEG","('Marshall Stone III (Earth-616)', 86)",Male
BOMBSHELL/,"('Thomas Halloway (Earth-616)', 60)",Male
BLACKWELL,"('Taylor Blackwell (Earth-616)', 90)",Male
HYPNO-HUSTLER/,"('Master Po (Earth-616)', 57)",Male
BALOR,"('Balor (Earth-616)', 90)",Male
MEGATAK,"('Megataur (Earth-616)', 77)",Male
"HEYWERTH, GENERAL","('Lieutenant General Fredricks (Earth-616)', 86)",Male
"DRAKE, WILLIAM ROBER","('Steven Rogers (William Burnside) (Earth-616)', 86)",Male
CAPTAIN AMERICA | MU,"('Captain America (Steven Rogers)', 86)",Male
CUTTHROAT/DANIEL LEI,"('Daniel Jones (Torpedo) (Earth-616)', 86)",Male
"POITIER, CLAUDE","('Jean Claude Pennysworth (Earth-616)', 86)",Male
ITZAMNA,"('Itzamna (Earth-616)', 90)",nan
"MODINE, REP. BERNARD","('Rodney Kemp (Earth-616)', 57)",Male
"HOLLISTER, SHERIFF","('William Hollister (Earth-616)', 86)",Male
COCO,"('Ariel (Coconut Grove) (Earth-616)', 90)",Female
"ANDERSON, MARJORIE","('Christopher Anderson (Earth-616)', 86)",Male
WITCHFIRE,"('Watchfire (Earth-616)', 80)",Male
CEREBRO,"('Cerebro (Founder) (Earth-616)', 90)",nan
DEMOGOBLIN,"('Demogoblin (Earth-616)', 90)",Male
FIRE EATER/TOMAS,"('Tomas Delgado (Earth-616)', 86)",Male
"SNIPES, DET.","('Snipes (Earth-616)', 86)",Male
AWESOME ANDROID,"('Awesome Android (Earth-616)', 90)",Male
KERIVAK,"('Bercilak de Hautdesert (Earth-616)', 64)",Male
OUTRIDER/OCLIN UWIR ,"('Cloudstrider (Earth-616)', 56)",Female
"JAYE-FIRESTONE, GING","('Jack Freestone (Earth-616)', 58)",Male
"CIRE, EYLA","('Le Concierge (Earth-616)', 72)",Male
"BECKMAN, LISA","('Lisa Castle (Earth-616)', 86)",Female
"STEELE, SIMON/WOLFGA","('John Steele (American Soldier) (Earth-616)', 86)",Male
FALCON/SAM WILSON,"('Sam Silvercloud (Earth-616)', 86)",Male
"BUCHETTO, SALVATORE ","('Salvatore (Hellfire Club) (Earth-616)', 86)",Male
SPIDER-WOMAN DOPPELG,"('Peter Parker (Spider-Skeleton) (Earth-616)', 86)",Male
EXECUTIONER V,"('Executioner (Crazy Gang) (Earth-616)', 86)",Male
"CACHES, PROF. MARINA","('Marina Caches (Earth-616)', 80)",Female
SMEDLEY,"('Smedley Kornfeld (Earth-616)', 90)",Male
"BADALAMENTE, JESUS","('Jesus Badalemente (Earth-616)', 86)",Male
HOWARD THE DUCK,"('Howard Hanover (Earth-616)', 86)",Male
THUNDERSWORD,"('Thunder (Two-Gun Kid) (Earth-616)', 68)",nan
"NASH, SABRINA","('Sabrina Morrel (Earth-616)', 86)",Female
NOTE,"('Carl Zante (Earth-616)', 74)",Male
"CONOVER, HANNAH","('Jacob Conover (Earth-616)', 86)",Male
"BYRNES, GAYLE WATSON","('Gayle Watson (Earth-616)', 73)",Female
"CALLAHAN, MIKE","('Mike Trapp (Earth-616)', 86)",Male
"SANDERS, MAC","('James Sanders (Earth-616)', 86)",Male
ERIC THE RED II,"('Red Hulk (Thaddeus Ross)', 86)",Male
BERNIE,"('Bernie Dillon (Earth-616)', 90)",Male
BERSERKER III,"('Warren Worthington III (Earth-616)', 86)",Male
"PAYNE, EDWARD","('Edward Brock (Earth-616)', 86)",Male
"BLISS, BONNIE","('Bliss (Morlock) (Earth-616)', 86)",Female
"DOMANI, DINO","('Dino Manelli (Earth-616)', 86)",Male
"CEAUSECU, IONEL","('Securitron', 63)",nan
HARD BOILED HENWY,"('Richard Gilmore (Earth-616)', 53)",Male
"SCARLOTTI, MRS.","('Marco Scarlotti (Earth-616)', 86)",Male
"RICHMOND, DELROY","('Kyle Richmond (Earth-616)', 86)",Male
8-BALL/,"('8-Ball (Hobgoblin) (Earth-616)', 90)",Male
DISTORTER,"('Baal (Sandstormers) (Earth-616)', 70)",Male
"GYRICH, HENRY PETER","('Peter Parker (Ben Reilly) (Earth-616)', 86)",Male
WHITE RABBIT,"('White Tiger (Evolved Tiger) (Earth-616)', 86)",Female
"EVERETT, BILL","('Beta Ray Bill (Earth-616)', 86)",Male
"SLOAN, FRED","('Fred Davis Jr. (Earth-616)', 86)",Male
REBOUND/,"('Rebound (Earth-616)', 90)",Female
"KANE, MARCY/KAINA","('Marcy Masterson (Earth-616)', 86)",Female
"WOO, CHOW YUN","('James Woo (Earth-616)', 86)",Male
"ENGLEHART, STEVE","('Steve Jackson (Earth-616)', 86)",Male
HAVOK/ALEX SUMMERS ,"('Alexander Summers (Earth-616)', 86)",Male
SOMON,"('Somon (Earth-616)', 90)",nan
